Age,Education_Level,Occupation,Number_of_Dependents,Location,Work_Experience,Marital_Status,Employment_Status,Household_Size,Homeownership_Status,Type_of_Housing,Gender,Primary_Mode_of_Transportation,Income
32,Master's,Education,1,Urban,48,Single,Self-employed,1,Own,Single-family home,Female,Car,2.5586870054713886
20,Master's,Technology,5,Urban,23,Married,Part-time,6,Own,Townhouse,Female,Car,2.4972761128635077
46,Bachelor's,Healthcare,0,Urban,19,Divorced,Full-time,3,Own,Single-family home,Male,Biking,2.4982267974437335
23,Master's,Others,5,Urban,44,Married,Full-time,2,Own,Apartment,Female,Biking,2.4931702737887167
34,Bachelor's,Healthcare,4,Urban,16,Married,Full-time,1,Rent,Apartment,Female,Public transit,2.494350648230263
43,Master's,Education,4,Suburban,12,Single,Full-time,4,Own,Single-family home,Male,Public transit,2.7680363103515244
38,Bachelor's,Technology,1,Urban,16,Married,Full-time,7,Own,Single-family home,Female,Car,2.5021860523244674
25,Bachelor's,Others,5,Urban,50,Married,Full-time,5,Rent,Apartment,Female,Car,2.46304598748092
38,Master's,Finance,1,Urban,14,Married,Part-time,7,Own,Townhouse,Male,Walking,2.5184923972236084
28,High School,Healthcare,0,Urban,3,Single,Full-time,3,Own,Single-family home,Male,Car,2.7970501257090814
55,Bachelor's,Finance,2,Suburban,17,Married,Part-time,1,Own,Single-family home,Male,Public transit,2.49314027922306
25,Master's,Finance,5,Rural,42,Single,Part-time,1,Own,Apartment,Male,Car,2.497985546932983
59,Master's,Others,5,Rural,8,Single,Self-employed,3,Own,Single-family home,Male,Public transit,2.6000619216436536
41,High School,Others,1,Urban,47,Married,Part-time,3,Rent,Apartment,Female,Public transit,2.4976987996204265
52,Bachelor's,Technology,4,Rural,2,Married,Full-time,1,Own,Single-family home,Male,Car,2.4988648658065142
31,Master's,Finance,0,Urban,26,Divorced,Part-time,4,Own,Single-family home,Female,Car,2.445020735311777
31,Doctorate,Technology,2,Urban,17,Married,Part-time,4,Own,Apartment,Female,Biking,2.4984183148129473
27,Bachelor's,Technology,5,Suburban,16,Married,Self-employed,4,Rent,Townhouse,Female,Public transit,2.5024209627145764
29,Master's,Healthcare,0,Urban,9,Single,Part-time,1,Own,Townhouse,Female,Public transit,2.4972855840893176
55,Master's,Healthcare,4,Urban,36,Single,Full-time,2,Own,Apartment,Male,Biking,2.492202024391914
61,High School,Healthcare,2,Rural,28,Married,Full-time,1,Own,Apartment,Female,Public transit,2.621310590987588
63,Master's,Others,2,Suburban,46,Single,Part-time,2,Own,Apartment,Female,Public transit,2.819906622426863
51,Bachelor's,Healthcare,1,Urban,49,Married,Self-employed,4,Own,Single-family home,Male,Public transit,2.6440882980653373
58,Bachelor's,Healthcare,3,Suburban,4,Single,Self-employed,1,Own,Single-family home,Female,Biking,2.8096754858934094
27,Bachelor's,Education,4,Suburban,46,Single,Full-time,6,Rent,Single-family home,Male,Public transit,2.655283657145813
34,Bachelor's,Technology,3,Rural,5,Married,Self-employed,4,Own,Single-family home,Male,Car,2.743048107227495
34,Master's,Others,4,Urban,39,Married,Part-time,1,Own,Apartment,Female,Car,2.499578064787337
20,Bachelor's,Technology,0,Suburban,34,Single,Full-time,4,Own,Apartment,Male,Public transit,2.4992765231541534
48,Master's,Healthcare,3,Suburban,4,Single,Full-time,3,Own,Apartment,Male,Car,2.6179640572346474
68,Master's,Others,5,Urban,49,Divorced,Part-time,6,Own,Single-family home,Male,Biking,2.502074992010465
18,Master's,Healthcare,5,Urban,14,Married,Part-time,1,Rent,Apartment,Female,Biking,2.5033293337447313
29,Bachelor's,Others,5,Urban,26,Married,Full-time,2,Own,Single-family home,Male,Car,2.493057733350204
56,High School,Healthcare,2,Urban,43,Single,Part-time,4,Rent,Single-family home,Female,Public transit,2.5712263634321006
21,Bachelor's,Finance,1,Rural,50,Married,Full-time,6,Rent,Apartment,Female,Biking,2.4959504151239265
59,Master's,Healthcare,4,Urban,38,Single,Part-time,6,Own,Single-family home,Female,Car,2.501122094160344
30,High School,Others,1,Urban,32,Single,Full-time,6,Rent,Single-family home,Male,Public transit,2.6376471947033986
51,Doctorate,Healthcare,4,Suburban,23,Single,Full-time,5,Rent,Townhouse,Male,Public transit,2.4990154489532466
59,Master's,Healthcare,5,Urban,20,Single,Full-time,2,Rent,Apartment,Male,Biking,2.4909864157394623
38,Master's,Others,2,Urban,1,Divorced,Part-time,5,Own,Apartment,Male,Walking,2.502793988269674
39,Bachelor's,Healthcare,2,Urban,18,Married,Self-employed,4,Own,Apartment,Female,Public transit,2.4981121232908365
21,Bachelor's,Finance,2,Urban,44,Married,Full-time,6,Rent,Apartment,Female,Car,2.4943334214461768
35,Master's,Finance,2,Rural,17,Divorced,Full-time,7,Rent,Single-family home,Female,Car,2.4946796699342353
22,Bachelor's,Technology,2,Suburban,9,Single,Full-time,1,Rent,Townhouse,Male,Biking,2.7722517372299156
36,Master's,Education,5,Urban,44,Single,Part-time,1,Rent,Townhouse,Female,Car,2.6695940244356158
19,Bachelor's,Others,1,Rural,36,Single,Full-time,1,Rent,Single-family home,Male,Biking,2.695326346547107
29,Master's,Others,0,Urban,22,Married,Full-time,5,Own,Apartment,Female,Public transit,2.4915819661367427
34,Master's,Education,3,Urban,44,Married,Part-time,6,Rent,Single-family home,Male,Car,2.5780335398727137
27,High School,Healthcare,1,Urban,40,Married,Full-time,7,Rent,Apartment,Female,Public transit,2.632612380423842
51,High School,Healthcare,5,Rural,0,Married,Part-time,7,Own,Single-family home,Male,Public transit,2.4918748335400047
23,Master's,Healthcare,3,Urban,5,Single,Full-time,4,Own,Apartment,Male,Public transit,2.7942962251875265
25,High School,Technology,0,Urban,0,Single,Part-time,3,Rent,Apartment,Male,Car,2.5026176372968987
68,Bachelor's,Others,4,Urban,17,Married,Self-employed,7,Rent,Apartment,Female,Public transit,2.493419771210388
28,Bachelor's,Finance,0,Urban,26,Married,Full-time,1,Own,Single-family home,Female,Walking,2.5895777674922877
29,High School,Finance,0,Rural,47,Single,Part-time,4,Rent,Single-family home,Male,Public transit,2.4927392215892388
26,High School,Education,5,Urban,39,Single,Full-time,3,Rent,Single-family home,Male,Public transit,2.4851468599262465
19,Master's,Education,4,Suburban,37,Married,Self-employed,3,Own,Apartment,Male,Biking,2.4948729821292086
25,Bachelor's,Finance,3,Urban,44,Single,Full-time,7,Own,Single-family home,Male,Public transit,2.558586352397601
28,Bachelor's,Finance,2,Suburban,16,Married,Part-time,4,Rent,Single-family home,Male,Biking,2.7027771325178604
70,Master's,Technology,4,Suburban,25,Married,Full-time,1,Own,Apartment,Male,Car,2.498602369929814
53,High School,Healthcare,4,Urban,12,Married,Full-time,1,Rent,Single-family home,Male,Walking,2.496231813961251
27,High School,Technology,0,Urban,9,Married,Part-time,2,Rent,Single-family home,Female,Public transit,2.442584925040953
38,Master's,Education,4,Rural,37,Married,Part-time,4,Own,Apartment,Female,Public transit,2.4855178053276923
37,Master's,Healthcare,1,Suburban,25,Single,Part-time,6,Rent,Single-family home,Female,Biking,2.7235820474051216
65,Bachelor's,Technology,2,Urban,30,Married,Full-time,3,Own,Single-family home,Male,Public transit,2.49468211999007
25,Doctorate,Healthcare,0,Urban,22,Single,Part-time,5,Own,Single-family home,Male,Car,2.6585642399597407
53,Master's,Others,3,Suburban,49,Married,Full-time,5,Own,Single-family home,Male,Car,2.501526190444917
46,High School,Healthcare,3,Urban,19,Married,Part-time,6,Rent,Single-family home,Male,Public transit,2.4916227801627455
59,High School,Technology,3,Urban,22,Married,Part-time,7,Own,Single-family home,Male,Public transit,2.4934396958161877
29,Master's,Finance,3,Rural,44,Married,Full-time,1,Rent,Apartment,Female,Public transit,2.4929525457233463
31,Bachelor's,Education,3,Rural,26,Married,Self-employed,2,Own,Single-family home,Male,Public transit,2.818322370896445
65,High School,Finance,0,Suburban,14,Married,Self-employed,6,Own,Single-family home,Female,Public transit,2.4994239908815974
67,Master's,Finance,1,Urban,37,Single,Full-time,7,Own,Apartment,Male,Car,2.5422685096521116
38,Bachelor's,Others,1,Rural,10,Single,Full-time,7,Rent,Apartment,Female,Biking,2.494738449551597
39,Bachelor's,Education,3,Urban,7,Married,Full-time,5,Rent,Single-family home,Male,Public transit,2.49394602339381
38,High School,Healthcare,1,Urban,13,Single,Part-time,1,Own,Apartment,Male,Public transit,2.7293253128177057
61,Bachelor's,Education,2,Urban,12,Married,Full-time,2,Rent,Apartment,Male,Walking,2.4958853289676632
67,Bachelor's,Finance,1,Suburban,21,Married,Part-time,5,Own,Townhouse,Male,Public transit,2.4988602277401357
47,High School,Technology,4,Urban,33,Married,Self-employed,3,Rent,Townhouse,Male,Public transit,2.496977163912772
56,Bachelor's,Healthcare,3,Rural,0,Married,Full-time,5,Rent,Apartment,Male,Public transit,2.4948632059443687
37,Bachelor's,Healthcare,4,Rural,36,Married,Self-employed,5,Own,Townhouse,Male,Public transit,2.494566882162109
41,Master's,Education,4,Urban,31,Married,Self-employed,5,Rent,Apartment,Male,Public transit,2.6302499060853535
40,Master's,Finance,3,Rural,10,Married,Part-time,7,Own,Apartment,Male,Public transit,2.6502445730492594
24,High School,Healthcare,5,Rural,9,Married,Full-time,5,Rent,Apartment,Female,Public transit,2.686418204781313
26,Master's,Education,0,Urban,29,Married,Full-time,1,Own,Single-family home,Male,Public transit,2.4960563623882117
18,Master's,Healthcare,5,Urban,11,Divorced,Full-time,4,Own,Single-family home,Female,Biking,2.5018233939737384
43,Master's,Finance,1,Urban,41,Single,Part-time,3,Own,Apartment,Male,Car,2.5030752976334347
55,Bachelor's,Others,5,Urban,40,Married,Part-time,7,Own,Townhouse,Male,Car,2.4948852005971585
55,High School,Technology,2,Suburban,33,Single,Self-employed,4,Own,Apartment,Female,Car,2.497162366056147
61,Master's,Healthcare,5,Urban,24,Single,Self-employed,1,Own,Single-family home,Male,Public transit,2.4971457637574983
39,High School,Healthcare,5,Rural,35,Divorced,Part-time,5,Own,Single-family home,Female,Public transit,2.5556296920625083
61,High School,Education,0,Rural,3,Single,Self-employed,7,Rent,Townhouse,Male,Public transit,2.4940251433192424
27,Bachelor's,Technology,2,Urban,20,Married,Full-time,2,Rent,Apartment,Female,Car,2.6291432850318963
23,Doctorate,Technology,5,Urban,29,Married,Full-time,2,Own,Apartment,Male,Car,2.7067958824763405
34,High School,Others,3,Urban,37,Married,Full-time,4,Rent,Single-family home,Male,Biking,2.5363832444084755
68,Bachelor's,Others,1,Urban,11,Married,Full-time,7,Own,Single-family home,Male,Public transit,2.4935964205689576
67,Bachelor's,Healthcare,5,Urban,38,Single,Part-time,6,Own,Apartment,Female,Public transit,2.4976940898212745
55,Master's,Healthcare,0,Urban,24,Married,Full-time,2,Rent,Apartment,Female,Car,2.718878403407508
41,Bachelor's,Education,3,Urban,18,Single,Full-time,4,Rent,Single-family home,Female,Public transit,2.452951034133362
68,High School,Education,0,Urban,1,Married,Self-employed,3,Rent,Apartment,Female,Biking,2.476678859695411
27,High School,Technology,4,Rural,21,Married,Self-employed,2,Rent,Single-family home,Male,Car,2.7038167202133514
25,Bachelor's,Finance,5,Urban,29,Single,Full-time,7,Own,Single-family home,Male,Car,2.493598905670193
38,High School,Healthcare,1,Urban,50,Married,Full-time,6,Own,Single-family home,Female,Biking,2.5027257010333557
23,High School,Finance,1,Urban,35,Single,Full-time,5,Rent,Single-family home,Female,Public transit,2.4966651011707763
38,Bachelor's,Technology,3,Urban,2,Single,Full-time,1,Own,Single-family home,Male,Car,2.742919119975008
56,Bachelor's,Others,3,Urban,22,Single,Part-time,3,Rent,Single-family home,Male,Car,2.4952994671882722
41,Master's,Technology,3,Urban,3,Single,Part-time,7,Own,Townhouse,Male,Walking,2.499876124742546
50,High School,Finance,1,Urban,27,Married,Full-time,2,Rent,Apartment,Female,Public transit,2.771668942207195
35,Bachelor's,Healthcare,5,Urban,13,Single,Part-time,7,Rent,Apartment,Male,Car,2.8040149047623655
45,Bachelor's,Finance,4,Urban,5,Divorced,Full-time,2,Rent,Single-family home,Male,Public transit,2.5360986516884627
69,High School,Healthcare,1,Urban,5,Divorced,Self-employed,7,Rent,Apartment,Male,Public transit,2.5006365824569414
49,Bachelor's,Technology,3,Urban,40,Married,Full-time,7,Own,Single-family home,Male,Biking,2.5009801497923174
29,High School,Healthcare,2,Suburban,36,Married,Self-employed,4,Own,Apartment,Female,Car,2.4984952528383215
65,Master's,Healthcare,5,Urban,6,Divorced,Full-time,3,Rent,Apartment,Male,Public transit,2.4929475331722624
59,Bachelor's,Healthcare,4,Urban,12,Married,Full-time,1,Own,Townhouse,Female,Public transit,2.499398665247215
44,Bachelor's,Healthcare,1,Suburban,0,Single,Full-time,1,Rent,Apartment,Male,Public transit,2.5030862650794843
27,High School,Education,2,Rural,23,Married,Self-employed,4,Own,Apartment,Female,Car,2.5956666881992008
63,High School,Others,5,Suburban,33,Single,Part-time,4,Own,Apartment,Female,Public transit,2.480921983725177
69,Bachelor's,Education,4,Urban,9,Married,Self-employed,4,Own,Single-family home,Female,Biking,2.4940646725282405
59,Bachelor's,Finance,1,Urban,5,Married,Full-time,2,Own,Apartment,Male,Car,2.4962678156268185
49,High School,Healthcare,5,Urban,3,Married,Full-time,7,Rent,Apartment,Male,Public transit,2.4390661473282034
59,High School,Technology,5,Suburban,7,Single,Full-time,3,Rent,Apartment,Female,Public transit,2.800634086203614
43,Bachelor's,Healthcare,3,Suburban,45,Single,Part-time,1,Own,Townhouse,Female,Car,2.50118509530481
42,Bachelor's,Healthcare,1,Urban,47,Married,Self-employed,5,Own,Single-family home,Male,Biking,2.6376832983051877
28,High School,Healthcare,5,Urban,14,Married,Full-time,1,Own,Apartment,Female,Public transit,2.6942510979558767
40,Bachelor's,Education,4,Urban,44,Married,Full-time,6,Rent,Single-family home,Female,Public transit,2.6265017148615333
51,Bachelor's,Healthcare,3,Urban,11,Married,Part-time,3,Own,Townhouse,Female,Biking,2.502500578044487
69,Bachelor's,Others,5,Rural,38,Married,Full-time,4,Rent,Townhouse,Male,Car,2.6708359595737847
57,Bachelor's,Education,0,Urban,46,Married,Part-time,2,Own,Apartment,Male,Walking,2.5031125804638403
40,Bachelor's,Finance,2,Urban,5,Single,Full-time,1,Rent,Apartment,Male,Walking,2.470731152100621
46,High School,Others,5,Suburban,20,Married,Self-employed,5,Own,Townhouse,Male,Car,2.5013042042467566
48,High School,Technology,3,Urban,45,Divorced,Self-employed,2,Own,Townhouse,Female,Biking,2.712742687238556
24,Bachelor's,Others,3,Urban,31,Married,Part-time,1,Own,Apartment,Female,Public transit,2.7542952766904167
57,Bachelor's,Healthcare,4,Urban,31,Married,Full-time,7,Rent,Apartment,Male,Car,2.524505612277163
50,Bachelor's,Finance,5,Urban,26,Single,Full-time,3,Rent,Townhouse,Female,Public transit,2.5023191099932127
38,Master's,Healthcare,5,Urban,46,Married,Full-time,7,Own,Apartment,Male,Biking,2.495185159733165
19,Master's,Technology,4,Urban,10,Married,Part-time,1,Own,Single-family home,Female,Car,2.502752142113549
35,High School,Technology,2,Urban,21,Married,Full-time,5,Rent,Townhouse,Female,Walking,2.838927256985633
64,Master's,Others,4,Urban,35,Single,Self-employed,2,Rent,Apartment,Male,Car,2.648502449030233
50,Bachelor's,Others,3,Urban,22,Married,Self-employed,1,Own,Apartment,Male,Public transit,2.497444052015133
54,High School,Healthcare,2,Suburban,36,Single,Full-time,5,Rent,Single-family home,Female,Public transit,2.7212942996136626
51,Doctorate,Education,2,Urban,22,Married,Part-time,7,Rent,Single-family home,Male,Public transit,2.4922930839776702
37,Master's,Finance,1,Urban,26,Married,Part-time,1,Rent,Apartment,Female,Biking,2.7771955984038037
52,Doctorate,Finance,3,Urban,33,Married,Full-time,1,Own,Apartment,Female,Walking,2.5011310975313314
68,High School,Healthcare,3,Urban,19,Married,Full-time,7,Own,Townhouse,Male,Public transit,2.4933075982816884
67,High School,Education,4,Urban,14,Married,Full-time,6,Rent,Apartment,Female,Car,2.7466364179934266
35,Bachelor's,Finance,3,Suburban,41,Single,Part-time,4,Rent,Single-family home,Male,Biking,2.496681808688055
63,Bachelor's,Finance,5,Urban,3,Married,Full-time,7,Rent,Apartment,Female,Public transit,2.495667972466845
41,High School,Education,4,Urban,28,Single,Part-time,5,Own,Townhouse,Male,Biking,2.499453910285859
25,Master's,Finance,3,Urban,39,Single,Self-employed,1,Own,Single-family home,Male,Public transit,2.4918316107121887
47,Bachelor's,Technology,5,Suburban,10,Married,Part-time,6,Rent,Single-family home,Male,Car,2.495725994884396
61,Bachelor's,Others,1,Rural,48,Married,Self-employed,2,Own,Townhouse,Female,Biking,2.497493653166181
70,Bachelor's,Technology,3,Urban,6,Married,Part-time,3,Rent,Single-family home,Female,Public transit,2.49649543159097
27,Bachelor's,Education,1,Urban,10,Married,Full-time,7,Own,Apartment,Female,Car,2.812660654218948
40,High School,Others,3,Urban,41,Single,Self-employed,4,Own,Townhouse,Female,Car,2.4952484148369987
69,Doctorate,Healthcare,3,Suburban,32,Single,Full-time,6,Rent,Townhouse,Male,Biking,2.495825014364571
66,Bachelor's,Others,0,Urban,29,Single,Self-employed,4,Own,Apartment,Female,Biking,2.4918494113074967
28,High School,Technology,5,Urban,31,Single,Full-time,4,Own,Apartment,Female,Car,2.503263716506686
19,Master's,Others,3,Urban,39,Married,Self-employed,3,Rent,Apartment,Male,Car,2.69509469114244
43,Doctorate,Healthcare,1,Urban,36,Single,Full-time,7,Own,Apartment,Female,Car,2.7891637522601287
53,Master's,Technology,2,Urban,12,Married,Full-time,5,Own,Single-family home,Male,Public transit,2.4957284115260916
50,Master's,Finance,1,Urban,6,Married,Full-time,2,Own,Apartment,Male,Biking,2.493745383572869
64,Bachelor's,Finance,5,Suburban,23,Married,Full-time,3,Own,Apartment,Male,Car,2.503037996418019
30,Master's,Healthcare,3,Urban,10,Married,Part-time,2,Own,Single-family home,Male,Biking,2.500296002489819
57,High School,Healthcare,4,Urban,30,Married,Full-time,2,Own,Apartment,Male,Car,2.5016000415253656
42,Master's,Technology,0,Urban,43,Single,Part-time,4,Own,Apartment,Male,Car,2.501212079768857
21,Bachelor's,Education,4,Urban,13,Married,Part-time,1,Own,Single-family home,Male,Car,2.6958898608203095
59,High School,Finance,0,Urban,43,Single,Part-time,2,Own,Single-family home,Female,Public transit,2.5018991840005325
36,Bachelor's,Education,0,Suburban,25,Single,Self-employed,2,Own,Single-family home,Male,Public transit,2.5013109406664507
35,Bachelor's,Others,4,Urban,0,Single,Full-time,2,Own,Apartment,Female,Walking,2.496576729016443
54,Bachelor's,Education,5,Suburban,5,Single,Full-time,2,Rent,Apartment,Female,Car,2.4644749161171187
47,High School,Healthcare,3,Urban,30,Married,Full-time,4,Own,Apartment,Male,Car,2.5011513512058015
36,Master's,Healthcare,1,Urban,42,Single,Full-time,2,Own,Single-family home,Male,Car,2.4817949619802953
40,High School,Technology,4,Urban,42,Divorced,Full-time,1,Rent,Single-family home,Male,Public transit,2.764060261416664
33,Bachelor's,Technology,2,Rural,11,Married,Self-employed,6,Rent,Apartment,Female,Biking,2.643365565794614
18,Master's,Technology,0,Urban,0,Divorced,Full-time,5,Own,Single-family home,Male,Public transit,2.4943358826536097
29,Bachelor's,Finance,1,Urban,5,Married,Full-time,5,Own,Apartment,Male,Public transit,2.493633688592277
41,Bachelor's,Education,2,Urban,28,Divorced,Self-employed,2,Own,Apartment,Female,Biking,2.494173272339467
51,High School,Others,1,Urban,29,Single,Self-employed,4,Own,Apartment,Male,Public transit,2.5031016168329314
70,Bachelor's,Others,3,Urban,12,Married,Self-employed,1,Own,Townhouse,Female,Public transit,2.503473491569209
25,Doctorate,Healthcare,2,Urban,29,Single,Self-employed,7,Own,Townhouse,Male,Public transit,2.492972592637623
35,Master's,Others,5,Suburban,11,Married,Part-time,1,Rent,Townhouse,Female,Walking,2.4943850901276745
65,Master's,Technology,5,Urban,9,Married,Full-time,2,Own,Apartment,Female,Walking,2.4987232771912344
22,High School,Technology,4,Urban,38,Married,Part-time,4,Own,Townhouse,Female,Public transit,2.5024342377534303
43,High School,Technology,1,Rural,9,Single,Full-time,7,Rent,Townhouse,Female,Walking,2.7216908937757025
47,High School,Finance,5,Urban,17,Married,Full-time,5,Rent,Apartment,Female,Public transit,2.493917569613783
30,Bachelor's,Others,5,Urban,5,Single,Self-employed,6,Own,Single-family home,Male,Biking,2.752129514892006
36,High School,Technology,4,Suburban,7,Married,Full-time,3,Own,Apartment,Female,Walking,2.5826785262150307
46,High School,Healthcare,4,Urban,19,Married,Part-time,2,Own,Single-family home,Female,Walking,2.7932142725796396
20,Bachelor's,Technology,5,Urban,40,Married,Part-time,2,Own,Townhouse,Male,Walking,2.491951049540085
43,Bachelor's,Healthcare,1,Urban,15,Divorced,Full-time,2,Own,Single-family home,Female,Biking,2.501919233375966
57,Bachelor's,Technology,1,Urban,1,Single,Full-time,4,Own,Apartment,Male,Public transit,2.68357753793917
29,Master's,Finance,0,Urban,10,Divorced,Self-employed,7,Rent,Apartment,Male,Walking,2.4928873568783434
19,Bachelor's,Education,0,Urban,23,Divorced,Self-employed,7,Rent,Apartment,Male,Biking,2.644893957270786
28,Master's,Healthcare,2,Urban,18,Married,Full-time,3,Own,Townhouse,Male,Biking,2.5018924996955705
61,Master's,Technology,2,Urban,3,Married,Full-time,4,Own,Townhouse,Male,Biking,2.50368921428967
45,Bachelor's,Education,2,Rural,2,Single,Part-time,2,Own,Single-family home,Male,Public transit,2.6671727091581037
35,High School,Healthcare,0,Urban,14,Divorced,Part-time,3,Own,Apartment,Female,Public transit,2.7622128537592308
30,High School,Technology,4,Suburban,39,Married,Part-time,1,Rent,Apartment,Male,Public transit,2.449658071509133
54,High School,Others,5,Urban,3,Divorced,Part-time,1,Rent,Single-family home,Male,Car,2.503721845920876
39,Bachelor's,Finance,3,Urban,42,Single,Part-time,6,Rent,Apartment,Male,Public transit,2.6832686009029563
29,Master's,Technology,3,Urban,16,Married,Self-employed,3,Rent,Single-family home,Male,Public transit,2.4947629276880425
19,Doctorate,Technology,5,Urban,8,Married,Part-time,2,Own,Single-family home,Female,Car,2.4928572509380182
54,High School,Healthcare,1,Urban,24,Single,Full-time,4,Own,Apartment,Male,Car,2.4920043555516327
24,Doctorate,Finance,0,Suburban,0,Divorced,Self-employed,2,Rent,Apartment,Female,Public transit,2.5014253682556085
43,Bachelor's,Technology,1,Urban,39,Married,Full-time,3,Own,Apartment,Female,Car,2.4918468686191115
43,Master's,Others,3,Urban,1,Married,Self-employed,6,Own,Apartment,Male,Public transit,2.5403075170722067
41,High School,Others,1,Urban,44,Married,Self-employed,7,Own,Apartment,Male,Public transit,2.499449308068208
29,High School,Education,0,Urban,32,Divorced,Full-time,2,Rent,Apartment,Male,Car,2.475138584029188
33,Bachelor's,Others,0,Urban,21,Married,Part-time,7,Own,Apartment,Male,Car,2.8205448819929164
40,Master's,Others,0,Suburban,41,Single,Part-time,2,Rent,Townhouse,Male,Car,2.8367089905001506
57,High School,Technology,3,Urban,11,Married,Self-employed,1,Own,Townhouse,Female,Car,2.493227730451772
26,High School,Education,0,Urban,26,Single,Full-time,5,Own,Single-family home,Female,Car,2.493032701818519
49,Master's,Finance,2,Urban,10,Married,Full-time,4,Own,Single-family home,Female,Walking,2.496509784507641
32,Master's,Healthcare,2,Rural,41,Single,Full-time,6,Own,Single-family home,Female,Car,2.4917221731570316
54,High School,Technology,5,Urban,13,Married,Full-time,2,Own,Apartment,Female,Biking,2.768333103112012
30,Master's,Healthcare,0,Urban,13,Married,Part-time,1,Rent,Single-family home,Male,Car,2.596959526411302
22,Bachelor's,Technology,2,Urban,39,Married,Full-time,5,Own,Apartment,Male,Public transit,2.494340804830178
28,Bachelor's,Others,0,Urban,42,Married,Part-time,1,Own,Single-family home,Female,Public transit,2.4992211488111686
27,Bachelor's,Healthcare,3,Suburban,21,Married,Full-time,2,Own,Single-family home,Female,Walking,2.5033140281473503
69,Bachelor's,Finance,2,Urban,8,Single,Self-employed,4,Own,Apartment,Male,Public transit,2.4952581417321174
30,Bachelor's,Healthcare,3,Suburban,14,Married,Full-time,5,Rent,Single-family home,Male,Public transit,2.5727022023185775
58,Bachelor's,Finance,2,Urban,32,Single,Full-time,2,Own,Single-family home,Female,Walking,2.49654565496088
70,Bachelor's,Technology,4,Urban,18,Married,Full-time,3,Own,Apartment,Female,Car,2.496229413244705
63,Master's,Healthcare,4,Urban,30,Single,Part-time,6,Rent,Apartment,Female,Car,2.4318138703325944
67,Master's,Technology,5,Suburban,17,Married,Self-employed,6,Own,Apartment,Female,Public transit,2.4946404583280954
32,Bachelor's,Others,5,Urban,11,Single,Part-time,2,Own,Apartment,Female,Public transit,2.462049453150029
59,High School,Education,5,Urban,39,Married,Full-time,1,Rent,Apartment,Female,Walking,2.5031345029594423
24,Bachelor's,Finance,3,Suburban,36,Single,Part-time,2,Own,Apartment,Male,Public transit,2.5034189186608056
57,Master's,Technology,2,Urban,44,Single,Full-time,3,Own,Single-family home,Female,Car,2.5744587395535747
45,Bachelor's,Healthcare,4,Urban,48,Married,Full-time,6,Rent,Townhouse,Male,Public transit,2.493110272867752
49,Bachelor's,Others,0,Rural,0,Single,Full-time,3,Rent,Single-family home,Male,Car,2.4944834099128994
52,High School,Technology,1,Urban,33,Single,Full-time,2,Own,Townhouse,Male,Car,2.552265097336086
32,Bachelor's,Education,4,Rural,6,Married,Full-time,7,Own,Townhouse,Female,Car,2.4685772809969486
65,Bachelor's,Healthcare,4,Urban,1,Married,Part-time,3,Own,Single-family home,Male,Car,2.4991079672873826
53,Master's,Technology,0,Urban,21,Single,Self-employed,1,Own,Apartment,Female,Public transit,2.435818299180967
38,Bachelor's,Finance,4,Urban,3,Single,Full-time,3,Own,Townhouse,Male,Car,2.4973896897941468
23,High School,Technology,4,Urban,44,Married,Full-time,6,Own,Single-family home,Male,Public transit,2.498702364703202
18,Bachelor's,Finance,4,Urban,45,Married,Full-time,3,Rent,Apartment,Male,Walking,2.815276464367723
21,Master's,Finance,5,Urban,19,Single,Full-time,7,Own,Apartment,Male,Public transit,2.4936361724801137
28,Bachelor's,Education,5,Rural,2,Single,Self-employed,7,Own,Apartment,Male,Public transit,2.6334747723191603
61,Bachelor's,Technology,2,Suburban,8,Single,Self-employed,4,Own,Apartment,Male,Car,2.498748829081334
43,Bachelor's,Others,5,Urban,17,Divorced,Full-time,1,Own,Apartment,Male,Car,2.700782352978146
54,Master's,Others,4,Urban,15,Married,Full-time,6,Own,Single-family home,Male,Public transit,2.5023124626614526
40,High School,Education,1,Urban,50,Single,Part-time,3,Rent,Single-family home,Female,Car,2.5645774738506626
46,Bachelor's,Technology,5,Urban,8,Married,Full-time,6,Own,Townhouse,Female,Car,2.5004256031452723
38,Master's,Healthcare,2,Suburban,18,Married,Part-time,2,Own,Apartment,Male,Public transit,2.762236639061808
65,Doctorate,Healthcare,2,Urban,5,Single,Self-employed,3,Own,Townhouse,Female,Biking,2.4957839731303197
62,Bachelor's,Finance,3,Urban,43,Married,Self-employed,5,Own,Single-family home,Female,Walking,2.7866283429382226
62,Doctorate,Education,4,Urban,14,Married,Part-time,5,Own,Townhouse,Male,Car,2.5011355988157202
66,Bachelor's,Healthcare,1,Urban,5,Single,Full-time,6,Own,Townhouse,Male,Biking,2.500819861471094
44,Bachelor's,Finance,1,Urban,4,Divorced,Full-time,1,Own,Single-family home,Female,Car,2.5013984596613126
56,Bachelor's,Others,3,Urban,28,Married,Self-employed,5,Own,Single-family home,Female,Car,2.4969177087015524
57,High School,Others,1,Urban,45,Married,Full-time,7,Rent,Townhouse,Male,Biking,2.502633084424967
30,Bachelor's,Technology,2,Urban,26,Divorced,Full-time,5,Own,Single-family home,Male,Car,2.4959552341082536
40,Bachelor's,Technology,0,Urban,50,Single,Full-time,3,Own,Apartment,Male,Public transit,2.4932327246401442
